title,keyword,category,subcategory,predication,departmenet
공정위 조회 사이트에서 사업자 등록번호로만 검색시 상호명 검색이 되지 않습니다. 사이트 오류가 있는 것 같습니다. 확인 후 조치 하여 연락 부탁 드립니다. ,"['공정위 조회 사이트', '사업자 등록번호', '상호명', '오류']",경제,기타,요청/개선,경제교통과
공정위 조회 사이트에서 사업자 등록번호로만 검색시 상호명 검색이 안되는데 어떻게 하면 조회 가능한가요? 담당부서 연락처 안내 부탁 드립니다. ,"['공정위 조회 사이트', '사업자 등록번호', '상호명', '조회']",경제,기타,요청/개선,경제교통과
경상남도 창원시 #@주소# 가게 앞에서 매일 저녁 20시~25시까지 불법으로 도로에 주차하여 무허가 푸드트럭 영업을 하고 있는 푸드트럭을 신고합니다.,"['경상남도', '창원시', '매일 저녁', '20시~25시', '불법', '도로', '무허가 푸드트럭 영업']",경제,판매업,항의,문화위생과
도로에서 허가도 안 받고 영업하는 푸드트럭 단속 좀 해주세요. 위치는 경상남도 창원시 #@주소# 가게 앞이고 매일 저녁 20시~25시까지 장사를 해요.,"['경상남도', '창원시', '매일 저녁', '20시~25시', '도로']",경제,판매업,항의,문화위생과
경상남도 창원시 #@주소# 가게 앞 도로에서 매일 저녁 20시~25시까지 무허가 푸드트럭이 장사를 하는데 단속 부탁드립니다. ,"['경상남도', '창원시', '매일 저녁', '20시~25시', '도로']",경제,판매업,항의,문화위생과
경상남도 창원시의 #@주소# 가게 앞에서 매일 저녁 20시~25시까지 불법으로 도로에 주차하여 무허가 푸드트럭 영업을 하고 있는 푸드트럭을 신고 드립니다.,"['경상남도', '창원시', '매일 저녁', '20시~25시', '불법', '도로', '무허가 푸드트럭 영업']",경제,판매업,항의,문화위생과
경상남도 창원시의 #@주소# 가게 앞에서 매일 저녁 20시~25시까지 불법으로 도로에 주차하여 허가 받지 않고 푸드트럭 영업을 하고 있는 푸드트럭을 신고합니다.,"['경상남도', '창원시', '매일 저녁', '20시~25시', '불법', '도로']",경제,판매업,항의,문화위생과
2016년 12월 12일 난방비 공고가 늦은 것에 대해 며칠 뒤 문의했는데 에너지 바우처 카드는 12월에서 4월까지 사용하는 거로 알고 있는데 12월 관리비에 난방비가 벌써 나왔는데 아무런 답변이 없네요. 답변 요청합니다.,"['2016년 12월 12일', '난방비', '공고', '에너지 바우처 카드', '사용', '12월 관리비', '답변']",경제,기타,요청/개선,마산회원구청
에너지 바우처 카드 사용기간은 12월에서 4월까지인 걸로 아는데요. 12월 관리비에 난방비가 벌써 나왔는데 아무런 답변이 없네요. 12월 난방비에 바우처 사용 가능 여부 답변주세요.,"['난방비', '에너지 바우처 카드', '사용', '12월 관리비', '답변']",경제,기타,요청/개선,마산회원구청
에너지 바우처 카드는 12월에서 4월까지 사용이 가능하다고 알고 있습니다. 12월 관리비에 난방비가 나온 상태인데 아직 답변이 없어서요. 답변을 빨리 해주시기 바랍니다.,"['난방비', '에너지 바우처 카드', '사용', '12월 관리비', '답변']",경제,기타,요청/개선,마산회원구청
"수고하십니다. 지난 8월11일 창원시 배후도시 지구단위계획 변경(안) 입안라는 보도자료가 창원시 홈페이지에 게시된 것으로 알고 있습니다. 그 중 기존에 1종근린생활시설이 허용되는 지역에는 부동산사무소 등 교통유발이 많지 않는 제2종근린생활시설 일부를 추가로 허용하며 준주거 및 상업지역 연접지 대학촌 등 부분적으로 일반음식점이 추가 허용된다. 라는 내용이 있습니다.
1)해당 내용이 실제로 시행되나요?시행된다면 언제부터 시행되는지 알고 싶습니다.변경내용이 있다면 상세한 내용도 알고 싶습니다. ","['8월11일', '창원', '배후도시', '지구단위계획', '제2종근린생활시설', '허용', '일반음식점', '허용', '시행']",경제,기타,문의(질의),도시계획과
"지난 8월11일 창원시 배후도시 지구단위계획 변경(안) 입안라는 보도자료를 창원시 홈페이지에서 확인했습니다. 그 중 기존에 1종근린생활시설이 허용되는 지역에는 부동산사무소 등 교통유발이 많지 않는 제2종근린생활시설 일부를 추가로 허용하며 준주거 및 상업지역 연접지 대학촌 등 부분적으로 일반음식점이 추가 허용된다는 내용이 실제로 시행되는지, 된다면 시기는 언제인지 궁금합니다.","['8월11일', '창원', '배후도시', '지구단위계획', '제2종근린생활시설', '허용', '일반음식점', '허용', '시행']",경제,기타,문의(질의),도시계획과
창원시 배후도시 지구단위계획 관련해 문의합니다. 기존에 1종근린생활시설 지역에 제2종근린생활시설 일부를 추가로 허용할 예정인가요? 시행 시기는 언제쯤인지요?,"['창원', '배후도시', '지구단위계획', '제2종근린생활시설', '허용', '허용', '시행']",경제,기타,문의(질의),도시계획과
8월11일 창원시 배후도시 지구단위계획 변경(안) 입안라는 보도자료를 창원시 홈페이지에서 봤는데요. 그 중 기존에 1종근린생활시설이 허용되는 지역에는 부동산사무소 등 교통유발이 많지 않는 제2종근린생활시설 일부를 추가로 허용하며 준주거 및 상업지역 연접지 대학촌 등 부분적으로 일반음식점이 추가 허용된다는 내용이 사실인지 여쭤보려고요.,"['8월11일', '창원', '배후도시', '지구단위계획', '제2종근린생활시설', '허용', '일반음식점', '허용']",경제,기타,문의(질의),도시계획과
"지난 8월11일 창원시 배후도시 지구단위계획 변경(안) 입안라는 보도자료가 창원시 홈페이지에 공지되었습니다. 그 중 기존에 1종근린생활시설이 허용되는 지역에는 부동산사무소 등 교통유발이 많지 않는 제2종근린생활시설 일부를 추가로 허용하며 준주거 및 상업지역 연접지 대학촌 등 부분적으로 일반음식점이 추가 허용된다고 하는데요. 이 내용이 실제로 시행되나요?시행된다면 언제부터 시행되는지 문의합니다,","['8월11일', '창원', '배후도시', '지구단위계획', '제2종근린생활시설', '허용', '일반음식점', '허용', '시행']",경제,기타,문의(질의),도시계획과
창원취업박람회 같은 취업행사에 대한 정보를 알고 싶습니다.,"['창원취업박람회', '취업행사', '정보']",경제,기타,문의(질의),일자리창출과
창원취업박람회에 대한 정보는 어디서 볼 수 있나요?,"['창원취업박람회', '정보']",경제,기타,문의(질의),일자리창출과
창원취업박람회에 대한 전반적인 안내 부탁드립니다.,['창원취업박람회'],경제,기타,문의(질의),일자리창출과
창원시 진해구 #@주소# 건강기능식품 일반판매업 미등록 상태인 것은 건강기능식품 일반판매업 현황 자료에서 확인하였습니다. 적법한 처분을 부탁드립니다.,"['창원시', '진해구', '건강기능식품', '일반판매업', '처분']",경제,판매업,요청/개선,문화위생과
창원시 진해구 #@주소#가 건강기능식품 일반판매업 미등록 업체이므로 법에 따라 행정처분 부탁합니다.,"['창원시', '진해구', '건강기능식품', '일반판매업', '처분']",경제,판매업,요청/개선,문화위생과
창원시 진해구 #@주소# 건강기능식품 일반판매업 미등록 업체입니다. 적법한 절차에 따라 처리해주시기 바랍니다,"['창원시', '진해구', '건강기능식품', '일반판매업']",경제,판매업,요청/개선,문화위생과
창원시 진해구 #@주소# 건강기능식품 일반판매업 미등록 상태로 영업을 하고 있으니 확인하시고 조치 취해주시기 바랍니다.,"['창원시', '진해구', '건강기능식품', '일반판매업']",경제,판매업,요청/개선,문화위생과
창원시 진해구 #@주소# 건강기능식품 일반판매업 미등록 업체이니 법에 따라 처리해주세요.,"['창원시', '진해구', '건강기능식품', '일반판매업']",경제,판매업,요청/개선,문화위생과
진해구 #@주소# 앞 자전거 횡단도로 구조물로 통행 시 위험하니 철거 바랍니다.,"['진해구', '자전거 횡단도로', '구조물', '철거']",경제,기타,요청/개선,경제기업사랑과
진해구 #@주소# 앞 자전거 횡단도로 구조물로 다칠 위험이 있어 철거 조치 바랍니다.,"['진해구', '자전거 횡단도로', '구조물', '철거']",경제,기타,요청/개선,경제기업사랑과
진해구 #@주소# 앞 자전거 횡단도로 구조물을 조속히 철거해주세요.,"['진해구', '자전거 횡단도로', '구조물', '철거']",경제,기타,요청/개선,경제기업사랑과
우수한 중소기업 선정 하는 거 있던데 그런 회사들 어떻게 찾나요? ,"['우수', '중소기업', '선정']",경제,기타,문의(질의),경제기업사랑과
우수한 중소기업 선정 하는 거 있던데 그런 회사들 어떻게 찾는지 질의합니다.,"['우수', '중소기업', '선정']",경제,기타,문의(질의),경제기업사랑과
질문합니다. 우수한 중소기업 선정 하는 거 있던데 그런 회사들 어떻게 찾는지 문의드립니다.,"['우수', '중소기업', '선정']",경제,기타,문의(질의),경제기업사랑과
우수한 중소기업 선정 하는 거 있던데 그런 회사들 어떻게 찾을 수 있는지 질문합니다.,"['우수', '중소기업', '선정']",경제,기타,문의(질의),경제기업사랑과
문의 사항이 있습니다. 우수한 중소기업 선정 하는 거 있던데 그런 회사들 어떻게 찾는지 질의합니다.,"['우수', '중소기업', '선정']",경제,기타,문의(질의),경제기업사랑과
고위 정부기관에서 농산물 도매시장 청과시장에 잡상인 오고 양말 팔러 대구까지 왔다 하며 그러는 사람이 많아 민원드립니다.,['농산물 도매시장'],경제,기타,항의,농산물도매시장관리과
고위 정부기관에서 농산물 도매시장 청과시장에 잡상인 오고 양말 팔러 대구까지 왔다 하며 그러던데 단속 요청드립니다.,['농산물 도매시장'],경제,기타,항의,농산물도매시장관리과
고위 정부기관에서 농산물 도매시장 청과시장에 잡상인 오고 양말 팔러 대구까지 왔다 하는데 제재 요청드립니다.,['농산물 도매시장'],경제,기타,항의,농산물도매시장관리과
경화역 문화 공원 조성 사업이 문체부 예산을 지원 받아 진행하는 것으로 알고 있는데 이번에 문체부에서 예산 삭감안을 제출했다는 기사를 보았습니다. 이에 따른 경화역 사업 예산에 대한 영향에 대해 알려주시기 바랍니다.,"['경화역', '예산', '문체부', '삭감안', '영향']",경제,기타,문의(질의),관광문화국
경화역 문화 공원 조성 사업이 문체부의 예산 지원으로 진행되는 거로 알고 있는데 이번에 문체부에서 예산 삭감안을 제출했다는 기사를 보았습니다. 경화역 사업 예산에 어떤 영향이 미칠 지 알고 싶습니다.,"['경화역', '예산', '문체부', '삭감안', '영향']",경제,기타,문의(질의),관광문화국
경화역 문화공원 조성 사업이 문체부의 예산 지원으로 진행되는 줄 알고 있었는데 이번에 문체부에서 예산 삭감안을 제출했다는 기사를 접했습니다. 경화역 사업 예산에 어떤 영향이 미칠 지 알고 싶습니다.,"['경화역', '문화공원', '예산', '문체부', '삭감안', '영향']",경제,기타,문의(질의),관광문화국
경화역 문화공원 조성 사업이 문체부의 예산 지원으로 진행되는 줄 알고 있었는데 이번에 문체부에서 예산 삭감안을 제출했다는 기사를 접했습니다. 경화역 사업 예산에 어떤 영향이 있을지 궁금합니다.,"['경화역', '문화공원', '예산', '문체부', '삭감안', '영향']",경제,기타,문의(질의),관광문화국
이번에 문체부에서 예산 삭감안을 제출했다는 기사를 보았습니다. 이로 인해 경화역 문화공원 조성 사업에 어떤 영향이 있나요?,"['경화역', '문화공원', '예산', '문체부', '삭감안', '영향']",경제,기타,문의(질의),관광문화국
"경남도청에서 진행한 창업 아카데미에 지원을 받아 창업을 진행해 보려는데, 정부에서 운용하고 있는 관용차량을 차를 이용하고 싶어도 이용할 수 없는 취약계층에게 혹은 급하게 차를 써야 하는데 차가 없어 쓸 수 없는 사람들에게 쉐어링해도 되는지 조언을 듣고자 합니다.","['관용차량', '쉐어링']",경제,기타,요청/개선,일자리창출과
정부에서 운용하고 있는 관용차량을 차를 이용하고 싶어도 이용할 수 없는 취약계층에게 혹은 급하게 차를 써야 하는데 차가 없어 쓸 수 없는 사람들에게 쉐어링을 통해 불편함을 해소해 주는 게 가능한지 알고 싶습니다. ,"['관용차량', '쉐어링']",경제,기타,요청/개선,일자리창출과
관용차량을 차를 이용하고 싶어도 이용할 수 없는 취약계층에게 혹은 급하게 차를 써야 하는데 차가 없어 쓸 수 없는 사람들에게 쉐어링을 통해 불편함을 해소해 주는게 실현 가능한지 알고 싶습니다.,"['관용차량', '쉐어링']",경제,기타,요청/개선,일자리창출과
당 연구소에서 개발한 축제식양식장을 각 지역에서 활용할 수 있도록 지방자치정부에 축제식양시장의 설치 장소 및 위치(해안 및 내륙 하천부지 농지)를 선정하여 보내 주시면 당 연구소에서 개발계획서를 만들어 개발할 수 있도록 하겠습니다.,"['당', '연구소', '개발', '축제식', '양식장', '개발계획서', '활용']",경제,기타,요청/개선,수산과
당 연구소에서 축제식양식장을 각 지역에서 활용할 수 있도록 지방자치정부에 축제식양시장의 설치 장소 및 위치(해안 및 내륙 하천부지 농지)를 선정하여 보내 주시면 개발계획서를 만들어 개발할 수 있도록 하도록 하겠습니다.,"['당', '연구소', '개발', '축제식', '양식장', '개발계획서', '활용']",경제,기타,요청/개선,수산과
당 연구소에서 개발한 축제식양식장을 각 지역에서 활용할 수 있도록 지방자치정부에 축제식양시장의 설치 장소 및 위치(해안 및 내륙 하천부지 농지)를 선정하여 보내 주시면 감사하겠습니다.,"['당', '연구소', '개발', '축제식', '양식장', '활용']",경제,기타,요청/개선,수산과
당 연구소에서 개발한 축제식양식장을 각 지역에서 활용할 수 있도록 지방자치정부에 축제식양시장의 설치 장소 및 위치(해안 및 내륙 하천부지 농지)를 선정하여 보내 주시면 당 연구소에서 개발계획서를 만들어 개발할 수 있도록 할게요.,"['당', '연구소', '개발', '축제식', '양식장', '개발계획서', '활용']",경제,기타,요청/개선,수산과
당 연구소에서 개발한 축제식양식장을 각 지역에서 활용할 수 있도록 지방자치정부에 축제식양시장의 설치 장소 및 위치(해안 및 내륙 하천부지 농지)를 선정하여 보내 주시면 당 연구소에서 개발계획서를 만들어 개발할 수 있도록 하려합니다.,"['당', '연구소', '개발', '축제식', '양식장', '개발계획서', '활용']",경제,기타,요청/개선,수산과
#@주소#내에 있는 매점은 대금 결제를 하려고 하면 카드기가 고장났다며 매번 현금을 대놓고 요구합니다. 시정 될 수 있도록 개선 바랍니다.,['매점'],경제,기타,요청/개선,하수행정과
#@주소#내에 있는 매점은 대금 결제를 하려고 하면 카드기가 고장났다면서 매번 현금을 대놓고 요구하므로 확인하여 행정적 조치를 요청합니다.,['매점'],경제,기타,요청/개선,하수행정과
#@주소#내에 있는 매점은 대금 결제를 하려고 하면 카드기가 고장났다며 매번 현금을 대놓고 요구하오니 시에서 시정 조치하여 주시기 바랍니다.,['매점'],경제,기타,요청/개선,하수행정과
재직중 직무 관련해서 학원을 다니고 싶은데 창원시에서 지원해주는게 있나요?,"['재직중', '학원', '창원시', '지원']",경제,기타,문의(질의),경제기업사랑과
"재직중 직무 관련해서 학원을 알아보고 있는데, 창원시에서 지원해주는 제도가 있나요?","['재직중', '학원', '창원시', '지원']",경제,기타,문의(질의),경제기업사랑과
재직중 직무 관련해서 학원을 다니고 싶어요. 창원시에서 지원나오는게 있습니까?,"['재직중', '학원', '창원시', '지원']",경제,기타,문의(질의),경제기업사랑과
재직중에 창원시에 지원받아서 직무 관련 학원을 다닐 수 있나요? ,"['재직중', '학원', '창원시', '지원']",경제,기타,문의(질의),경제기업사랑과
재직중 직무 관련해서 학원을 지원해주는 제도가 창원시에 있나요?,"['재직중', '학원', '창원시', '지원']",경제,기타,문의(질의),경제기업사랑과
"재직 과정에서 학원을 다니면서 직무 관련이라든지 영어 2D, 3D 캐드, CNC, MCT 등을 배우고 싶어요. 창원시에서 지원해 주는 것이 있나요?","['재직 과정', '학원', '지원']",경제,기타,문의(질의),경제기업사랑과
"재직 과정에서 학원을 다니면서 직무 관련이라든지 영어 2D, 3D 캐드, CNC, MCT 등 관련해서 학원을 다니고 싶은데요. 어떤 홈페이지에 들어가니까 영어는 지원해 주는 건 있던데 다른 것도 지원되는지 궁금합니다. 창원시에서 지원 해주나요?","['재직 과정', '학원', '지원']",경제,기타,문의(질의),경제기업사랑과
"재직 과정에서 학원을 다니면서 직무 관련이라든지 영어 2D, 3D 캐드, CNC, MCT 등 관련해서 학원을 다니고 싶은데요. 어떤 홈페이지에 들어가니까 영어는 지원해 주는 건 있던데 다른 것도 지원되는지 궁금합니다. 창원시에서 지원 해주는게 있나요? ","['재직 과정', '학원', '지원']",경제,기타,문의(질의),경제기업사랑과
창원시 중소기업재직자 보조금 지원 문의드립니다.,"['창원시', '중소기업재직자', '보조금', '지원']",경제,기타,문의(질의),경제기업사랑과
창원시 중소기업재직자 보조금 지원을 문의합니다.,"['창원시', '중소기업재직자', '보조금', '지원']",경제,기타,문의(질의),경제기업사랑과
창원시 중소기업재직자 보조금 지원에 대해 문의합니다.,"['창원시', '중소기업재직자', '보조금', '지원']",경제,기타,문의(질의),경제기업사랑과
창원시 중소기업의 재직자을 위한 보조금 지원이 있는지알고 싶습니다.,"['창원시', '보조금', '지원']",경제,기타,문의(질의),경제기업사랑과
창원시 중소기업재직자 보조금 지원과 관련해 문의드립니다.,"['창원시', '중소기업재직자', '보조금', '지원']",경제,기타,문의(질의),경제기업사랑과
창원시 기능대 야시장에서 물건 판매하려면 어디에 문의해야 하나요?,"['기능대', '야시장', '물건', '판매']",경제,기타,문의(질의),안전건설과
창원시 기능대 야시장 물건 판매에 대해 문의하고 싶습니다.,"['기능대', '야시장', '물건', '판매']",경제,기타,문의(질의),안전건설과
"창원시 기능대 야시장에서 물건을 판매하려고 하는데, 신청 방법을 알려주세요.","['기능대', '야시장', '물건', '판매', '신청']",경제,기타,문의(질의),안전건설과
전기차 충전소 설치 건의를 하려면 어떻게 해야 하나요?,"['전기차 충전소', '설치', '건의']",경제,기타,문의(질의),생태교통과
전기차 충전소가 많이 없어서 불편하여 전기차 충전소 설치 건의를 하려고 하는데 어떻게 해야 합니까?,"['전기차 충전소', '설치', '건의']",경제,기타,문의(질의),생태교통과
전기차 충전소 설치 건의를 하려면 어떻게 해야 하는지요?,"['전기차 충전소', '설치', '건의']",경제,기타,문의(질의),생태교통과
전기차 충전소가 많이 부족합니다. 전기차 충전소 설치 건의를 하려면 어찌해야 하는지요?,"['전기차 충전소', '설치', '건의']",경제,기타,문의(질의),생태교통과
전기차 충전소 설치 건의를 하려면 어떻게 합니까?,"['전기차 충전소', '설치', '건의']",경제,기타,문의(질의),생태교통과
진해구 #@주소# 태양광발전소 전기사업 허가가 원활하게 이루어 지게 조례 변경을 부탁드립니다.,"['진해구', '태양광발전소', '전기사업', '허가', '조례', '변경']",경제,신재생에너지,요청/개선,경제기업사랑과
진해구 #@주소# 태양광발전소 전기사업 허가 요청합니다.,"['진해구', '태양광발전소', '전기사업', '허가']",경제,신재생에너지,요청/개선,경제기업사랑과
진해구 #@주소# 태양광발전소 전기사업 허가 신청합니다.,"['진해구', '태양광발전소', '전기사업', '허가']",경제,신재생에너지,요청/개선,경제기업사랑과
"창원시 공장등록증 없이 생산된 자재, 자재 공급원(승인 요청) 선정을 할 수 없나요?","['공장등록증', '생산', '자재', '자재 공급원', '선정']",경제,기타,문의(질의),행정과
"생산된 자재, 자재 공급원(승인 요청) 선정이 창원시 공장등록증 없이가능한지 문의드립니다.","['공장등록증', '생산', '자재', '자재 공급원', '선정']",경제,기타,문의(질의),행정과
"창원시 공장등록증과 상관없이 생산된 자재, 자재 공급원(승인 요청) 계약의 가능 여부 문의합니다.","['공장등록증', '생산', '자재', '자재 공급원']",경제,기타,문의(질의),행정과
"창원시 공장등록증과 상관없이 생산된 자재, 자재 공급원(승인 요청) 선정으로 문의하고 싶은데 어느 부서로 연락해야 하나요?","['공장등록증', '생산', '자재', '자재 공급원', '선정']",경제,기타,문의(질의),행정과
"창원시 공장등록증 없이 생산된 자재, 자재 공급원(승인 요청) 선정으로 문의하고 싶은데 담당 부서 연락처 알 수 있을까요?","['공장등록증', '생산', '자재', '자재 공급원', '선정']",경제,기타,문의(질의),행정과
상남도 창원시의 의창구 #@주소# 명서전통시장 주차장 문의 드려요. ,"['상남도', '창원시', '의창구', '명서전통시장', '주차장']",경제,기타,문의(질의),경제기업사랑과
명서전통시장 주차장 문의 드립니다. 상남도 창원시 의창구 #@주소# 입니다.,"['상남도', '창원시', '의창구', '명서전통시장', '주차장']",경제,기타,문의(질의),경제기업사랑과
상남도 창원시의 의창구 #@주소# 명서전통시장 주차장 문의 드릴께요.,"['상남도', '창원시', '의창구', '명서전통시장', '주차장']",경제,기타,문의(질의),경제기업사랑과
"기간제 모집을 투명하게 선발할 수 있도록 개선이 필요하다. 앞으로 창원시 홈페이지 알림 마당 고시, 공고에 합격자 발표도 공정하고 투명하게 고시 공고란에 공개하여 발표하길 요청한다.","['기간제 모집', '선발', '창원시', '홈페이지', '공고란에 공개']",경제,기타,요청/개선,안전건설과
"창원시 홈페이지 알림 마당 고시, 공고에 공정하고 투명하게 합격자 발표를 고시 공고란에 공개하여 발표하길 부탁드립니다.","['창원시', '홈페이지', '공고란에 공개']",경제,기타,요청/개선,안전건설과
"기간제 모집을 투명하게 선발할 수 있도록 개선이 필요합니다. 앞으로 창원시의 홈페이지 알림 마당 고시, 공고에 합격자 발표도 공정하고 투명하게 고시 공고란에 공개하여 발표해 주세요.","['기간제 모집', '선발', '창원시', '홈페이지', '공고란에 공개']",경제,기타,요청/개선,안전건설과
" 앞으로 창원시 홈페이지 알림 마당 고시, 공고에 합격자 발표도 공정하고 투명하게 고시 공고란에 공개해 주세요.기간제 모집을 투명하게 선발할 수 있도록 개선해야 합니다.","['기간제 모집', '선발', '창원시', '홈페이지', '공고란에 공개']",경제,기타,요청/개선,안전건설과
"기간제 모집을 투명하게 선발할 수 있도록 개선이 필요합니다. 앞으로 창원시의 홈페이지 알림 마당 고시, 공고에 합격자 발표도 공정하고 투명하게 고시 공고란에 공개하여 발표 하시길 부탁드려요.","['기간제 모집', '선발', '창원시', '홈페이지', '공고란에 공개']",경제,기타,요청/개선,안전건설과
창원시의 진해구 경화장 주차장에 설치되어 있는 조립식 건물 철거 원합니다. 왜 차량 주차를 몇 대 더할 수 있는 곳에 일고여덟 평이나 되는 조립식 건물을 짓도록 해주었는지 알고 싶습니다.,"['창원시', '진해구', '경화장', '주차장', '조립식', '건물', '철거', '차량', '일고여덟 평']",경제,전통시장,요청/개선,경제기업사랑과
창원시 진해구 경화장 주차장에 있는 조립식 건물 철거를 바랍니다. 주차를 더할 수 있는 곳에 일고여덟 평이나 되는 조립식 건물을 짓도록 해주었는지 답변을 듣고 싶습니다.,"['창원시', '진해구', '경화장', '주차장', '조립식', '건물', '철거', '일고여덟 평']",경제,전통시장,요청/개선,경제기업사랑과
창원시의 진해구 경화장 주차장에 설치되어 있는 조립식 건물 철거 부탁합니다. 왜 차량 주차를 몇 대 더할 수 있는 곳에 일고여덟 평이나 되는 조립식 건물을 짓도록 해주었는지 알고 싶습니다.,"['창원시', '진해구', '경화장', '주차장', '조립식', '건물', '철거', '차량', '일고여덟 평']",경제,전통시장,요청/개선,경제기업사랑과
창원시 조선업지원센터 지원사업신청 탈락 문의드립니다.,"['창원시', '조선업지원센터', '지원사업신청', '탈락']",경제,기타,문의(질의),일자리창출과
창원시 조선업지원센터 지원사업신청 탈락을 문의합니다.,"['창원시', '조선업지원센터', '지원사업신청', '탈락']",경제,기타,문의(질의),일자리창출과
창원시 조선업지원센터 지원사업신청 탈락에 대해 문의합니다.,"['창원시', '조선업지원센터', '지원사업신청', '탈락']",경제,기타,문의(질의),일자리창출과
창원시 조선업지원센터 지원사업신청이 왜 탈락되었는지 궁금하니 답변 바랍니다.,"['창원시', '조선업지원센터', '지원사업신청', '탈락']",경제,기타,문의(질의),일자리창출과
창원시 조선업지원센터 지원사업신청에 왜 탈락했을까요?,"['창원시', '조선업지원센터', '지원사업신청', '탈락']",경제,기타,문의(질의),일자리창출과
창원시 요금미납에 대한 도시가스 차단 불편 처리해 주세요.,"['요금미납', '도시가스', '차단', '불편']",경제,액화석유가스 사업,요청/개선,경제교통과
창원시 요금미납으로 도시가스가 차단되었습니다.어떻게 해야하나요?,"['요금미납', '도시가스', '차단']",경제,액화석유가스 사업,요청/개선,경제교통과
창원시 요금미납에 대한 도시가스 차단 불편 처리해 주시기 바랍니다.,"['요금미납', '도시가스', '차단', '불편']",경제,액화석유가스 사업,요청/개선,경제교통과
경남 창원시 의창구 #@주소#에서 담배 소매인 지정을 받아 운영해왔으나 현재는 상호 및 운영자 변경되었습니다. 하지만 담배 폐업을 하지 않고 있습니다. 확인 부탁드립니다.,"['경남', '창원시', '의창구', '담배 소매인', '변경', '폐업', '확인']",경제,담배소매업,요청/개선,경제교통과
경남 창원시 의창구 #@주소#는 담배 소매인으로 운영했지만 지금은 상호와 운영자가 변경되었음에도 폐업을 하지 않습니다. 확인해 주세요.,"['경남', '창원시', '의창구', '담배 소매인', '변경', '폐업', '확인']",경제,담배소매업,요청/개선,경제교통과
경남 창원시 의창구 #@주소#에서는 담배 소매인 지정을 받아서 운영하다가 현재 상호와 운영자가 변경되었지만 폐업을 하지 않는 것 같아요. 확인 부탁드려요.,"['경남', '창원시', '의창구', '담배 소매인', '변경', '폐업', '확인']",경제,담배소매업,요청/개선,경제교통과
경남 창원시 의창구 #@주소#에서 담배 소매인으로 지정 받아 운영했었는데 지금은 상호와 운영자 모두 바뀌었는데 폐업을 하지 않네요. 확인 부탁드립니다.,"['경남', '창원시', '의창구', '담배 소매인', '폐업', '확인']",경제,담배소매업,요청/개선,경제교통과
